Open Interest,Change in Open Interest,Traded Volume,Implied Volatility,Last Traded Price,Net Change,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Strike Price,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Net Change,Last Traded Price,Implied Volatility,Traded Volume,Change in Open Interest,Open Interest
17,0,0,0.0,0.0,0.0,885,7809.75,9137.4,300,37500,0,0.0,0.05,177660,-0.4,0.05,103.65,109312,-3026,37630
8,0,0,0.0,0.0,0.0,885,7215.45,8598.75,300,38000,0,0.0,0.05,12330,-0.45,0.05,97.24,29848,-2023,8476
8,0,0,0.0,0.0,0.0,300,6968.95,7416.95,105,38500,0,0.0,0.05,8175,-0.45,0.05,90.88,51473,-30645,6487
20,12,31,0.0,6697.65,-502.35000000000036,285,6802.35,6834.1,285,39000,0,0.0,0.05,1620,-0.45,0.05,84.6,65687,-13957,3786
10,0,0,0.0,0.0,0.0,885,5996.3,6407.9,120,39500,0,0.0,0.05,2475,-0.5,0.05,78.36,21238,-2979,1350
13,-1,3,0.0,5805.95,-594.0500000000002,285,5804.4,5832.1,285,40000,0,0.0,0.05,14640,-0.5499999999999999,0.05,72.18,71312,-11539,5866
16,0,0,0.0,0.0,0.0,120,5146.85,5407.9,120,40500,0,0.0,0.05,225,-0.6499999999999999,0.05,66.06,24396,-2154,1705
102,0,0,0.0,0.0,0.0,120,4654.7,4907.0,105,41000,0,0.0,0.05,1515,-0.75,0.05,59.98,116560,-6907,15489
102,0,0,0.0,0.0,0.0,120,4176.75,4407.9,120,41500,0,0.0,0.05,900,-0.8999999999999999,0.05,53.94,254080,-25872,39799
9,4,23,0.0,3835.95,-437.0,300,3697.2,4465.8,285,41900,0,0.0,0.05,1575,-0.75,0.05,49.13,23597,-3765,2596
237,-25,165,0.0,3826.85,144.04999999999973,60,3818.4,3828.15,150,42000,0,0.0,0.05,123480,-0.85,0.05,47.93,336621,-25317,68321
102,0,0,0.0,0.0,0.0,120,3574.8,3807.9,120,42100,0,0.0,0.1,37170,-0.7999999999999999,0.05,46.74,36040,-3498,3056
64,0,1,0.0,3498.6,-182.30000000000018,300,3498.55,3707.45,120,42200,0,0.0,0.05,3015,-0.8999999999999999,0.05,45.54,46575,-2543,809
13,3,7,0.0,3564.95,23.75,150,3467.15,3569.8,285,42300,0,0.0,0.05,345,-1.0,0.05,44.35,49104,-5587,3914
8,0,0,0.0,0.0,0.0,120,3278.75,3507.0,105,42400,0,0.0,0.05,1050,-0.95,0.05,43.15,33979,-2867,4002
92,-21,22,0.0,3322.85,115.09999999999991,150,3308.35,3328.4,150,42500,0,0.0,0.1,24450,-1.05,0.05,41.96,340469,-31866,20021
12,0,1,0.0,3210.0,119.25,300,3086.6,3307.95,105,42600,0,0.0,0.05,225,-1.0,0.05,40.77,46311,-7611,2630
14,0,0,0.0,0.0,0.0,120,2978.75,3207.9,120,42700,0,0.0,0.05,6870,-1.05,0.05,39.58,82292,-8144,5921
16,0,2,0.0,2905.0,-149.6500000000001,210,2910.75,3097.4,195,42800,0,0.0,0.05,2010,-1.15,0.05,38.39,86539,-9148,3920
13,0,1,0.0,2815.0,-454.3499999999999,300,2755.6,2967.9,195,42900,0,0.0,0.05,30,-1.25,0.05,37.2,105280,-10938,4234
142,-166,395,0.0,2813.9,100.75,150,2810.4,2826.1,150,43000,0,0.0,0.05,118140,-1.3499999999999999,0.05,36.01,848779,-37065,69462
18,0,1,104.51,2974.15,-183.79999999999973,195,2595.05,2767.5,195,43100,0,0.0,0.05,7695,-1.3499999999999999,0.05,34.82,212778,-15621,6827
5,0,0,0.0,0.0,0.0,300,2474.45,2667.55,105,43200,0,0.0,0.05,9195,-1.5,0.05,33.63,204058,-11086,10509
12,0,1,0.0,2480.0,-225.0,150,2506.75,2567.95,105,43300,0,0.0,0.05,38820,-1.7,0.05,32.44,259028,-3740,17224
12,1,2,0.0,2421.1,-372.9000000000001,150,2297.65,2467.5,150,43400,0,0.0,0.05,39225,-1.9,0.05,31.25,255237,-11885,16216
79,-46,162,0.0,2311.8,127.05000000000018,210,2268.95,2365.9,210,43500,0,0.0,0.05,210195,-2.1500000000000004,0.05,30.07,1816767,-67407,90934
32,0,8,0.0,2227.45,152.44999999999982,150,2208.1,2263.8,150,43600,0,0.0,0.05,6150,-2.25,0.05,28.88,292216,-18920,10615
42,-6,28,0.0,2117.85,70.09999999999991,900,2105.1,2142.9,15,43700,0,0.0,0.05,93570,-2.5,0.05,27.69,495918,-9824,20578
220,-4,55,0.0,2025.9,66.15000000000009,900,2005.15,2065.9,210,43800,0,0.0,0.05,4005,-2.7,0.05,26.5,555856,-15024,24056
125,-48,130,0.0,1913.25,154.45000000000005,900,1905.65,1929.0,15,43900,0,0.0,0.05,105960,-3.0500000000000003,0.05,25.31,694473,-10980,23225
436,-1123,2496,0.0,1821.55,108.25,45,1815.0,1821.5,15,44000,0,0.0,0.05,282345,-3.6,0.05,24.12,4302812,-86008,216909
62,-21,94,0.0,1710.25,80.29999999999995,900,1702.15,1767.95,105,44100,0,0.0,0.05,3495,-4.3500000000000005,0.05,24.14,1051736,-6971,36583
68,-30,82,0.0,1611.85,69.64999999999986,900,1602.15,1622.35,15,44200,0,0.0,0.05,29040,-5.2,0.05,21.74,1503994,-34518,34377
213,-37,112,0.0,1510.4,157.6500000000001,900,1502.15,1567.95,105,44300,0,0.0,0.05,57270,-6.3,0.05,20.54,1785839,20129,71486
