Time,Value,Call Sum (in K),Put Sum (in K),Difference (in K),Call Boundary (in K),Put Boundary (in K),Call ITM,Put ITM
15:30:00,45012,268.2,-1.9,270.1,50.1,-17.1,0.0,-10.1
15:30:00,45012,107.1,112.3,-5.2,36.3,65.1,0.2,0.3
15:06:38,45593.95,-26.2,10.6,-36.8,-16.0,12.1,0.1,-0.1
15:08:38,45593.95,-26.2,10.6,-36.8,-16.0,12.1,0.1,-0.1
15:09:38,45596.5,-19.6,11.0,-30.6,-15.9,12.4,0.1,-0.2
15:10:38,45596.5,-19.6,11.0,-30.6,-15.9,12.4,0.1,-0.2
15:11:38,45611.65,-19.6,11.0,-30.6,-15.9,12.4,0.1,-0.2
15:13:38,45615,-8.5,11.1,-19.6,-14.4,12.6,0.1,-0.2
15:14:38,45610.15,-8.1,11.6,-19.7,-14.0,12.8,0.1,-0.2
15:17:08,45610.15,-7.8,11.6,-19.4,-14.0,12.8,0.1,-0.2
15:17:38,45636.7,-7.8,11.6,-19.4,-14.0,12.8,0.1,-0.2
15:18:38,45636.7,-7.8,11.6,-19.4,-14.0,12.8,0.1,-0.2
15:19:38,45640.25,1.2,11.2,-10.0,-15.3,12.5,0.1,-0.2
15:21:08,45655.95,-5.9,9.7,-15.6,-15.8,11.2,0.1,-0.4
15:21:38,45655.95,-5.9,9.7,-15.6,-15.8,11.2,0.1,-0.4
15:22:38,45655.95,-5.9,9.7,-15.6,-15.8,11.2,0.1,-0.4
15:23:38,45665.5,-5.9,9.7,-15.6,-15.8,11.2,0.1,-0.4
15:24:38,45665.5,-5.9,9.7,-15.6,-15.8,11.2,0.1,-0.4
15:25:38,45668.45,-9.7,9.2,-18.9,-16.4,10.1,0.1,-0.6
15:27:38,45688.1,-14.8,8.7,-23.5,-16.9,9.7,0.0,-1.0
15:28:38,45688.1,-14.8,8.7,-23.5,-16.9,9.7,0.0,-1.0
15:30:00,45687.1,-14.8,8.7,-23.5,-16.9,9.7,0.0,-1.0
