Open Interest,Change in Open Interest,Traded Volume,Implied Volatility,Last Traded Price,Net Change,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Strike Price,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Net Change,Last Traded Price,Implied Volatility,Traded Volume,Change in Open Interest,Open Interest
0,0,0,0.0,0.0,0.0,1600,2415.55,3046.75,1600,17600,761520,0.05,0.1,81040,-0.09999999999999999,0.05,86.55,38021,-2575,6231
0,0,0,0.0,0.0,0.0,400,2528.4,2974.75,400,17700,6240,0.1,0.15,13600,-0.1,0.1,80.91,9124,-234,1067
0,0,0,0.0,0.0,0.0,400,2432.7,2866.3,400,17800,1520,0.1,0.15,17360,-0.1,0.1,77.87,10027,-8,1162
0,0,0,0.0,0.0,0.0,400,2336.7,2757.55,400,17900,6120,0.1,0.15,3160,-0.1,0.1,74.85,9304,-138,887
0,0,0,0.0,0.0,0.0,400,2240.75,2646.7,400,18000,458040,0.05,0.1,42360,-0.15000000000000002,0.05,71.83,20806,1225,3973
0,0,0,0.0,0.0,0.0,400,2144.85,2537.55,400,18100,20840,0.1,0.15,10480,-0.1,0.1,68.82,9388,79,670
0,0,0,0.0,0.0,0.0,400,2048.6,2429.4,400,18200,14440,0.1,0.15,2360,-0.1,0.1,67.92,8801,-259,548
0,0,0,0.0,0.0,0.0,400,1952.5,2319.9,400,18300,20600,0.1,0.15,12360,-0.1,0.1,62.83,10271,-100,905
0,0,0,0.0,0.0,0.0,1800,1919.8,1981.9,1800,18400,94320,0.1,0.15,22000,-0.1,0.15,59.85,16295,2888,4501
3,0,3,0.0,1803.0,-57.0,200,1847.4,1854.65,1040,18500,235040,0.1,0.15,21800,-0.15,0.1,58.72,37884,10435,11732
0,0,0,0.0,0.0,0.0,1800,1719.95,1781.75,1800,18600,49800,0.1,0.15,26680,-0.15,0.1,53.9,8961,391,876
0,0,0,0.0,0.0,0.0,1800,1620.05,1681.7,1800,18700,177240,0.1,0.15,22680,-0.15,0.1,50.93,13437,525,1211
0,0,0,0.0,0.0,0.0,1800,1520.1,1577.55,1800,18800,76840,0.1,0.15,33880,-0.15,0.1,47.97,17652,1306,2072
