Open Interest,Change in Open Interest,Traded Volume,Implied Volatility,Last Traded Price,Net Change,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Strike Price,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Net Change,Last Traded Price,Implied Volatility,Traded Volume,Change in Open Interest,Open Interest
3,2,3,79.15,283.0,7.0,8800,247.25,258.45,4400,1200,550,1.3,1.4,3300,0.050000000000000044,1.0,35.21,689,-25,601
0,0,0,0.0,0.0,0.0,1650,228.1,239.25,1650,1220,550,1.1,1.5,550,0.44999999999999996,1.45,34.66,17,-5,15
0,0,0,0.0,0.0,0.0,1650,218.15,230.1,1650,1230,550,1.25,1.7,1100,0.3500000000000001,1.3,32.7,336,45,548
0,0,0,0.0,0.0,0.0,1650,207.85,221.85,1650,1240,6050,1.35,1.75,2750,0.3500000000000001,1.5,32.16,37,-2,159
0,0,0,0.0,0.0,0.0,1650,198.4,209.55,1650,1250,4400,1.45,2.0,550,0.7,1.9,32.17,354,44,618
0,0,0,0.0,0.0,0.0,1650,188.85,200.15,1650,1260,5500,1.1,2.2,1650,0.2999999999999998,1.9,30.78,28,0,161
0,0,0,0.0,0.0,0.0,1650,178.8,190.0,1650,1270,5500,1.8,2.1,3300,0.5999999999999999,1.95,29.54,85,-21,431
1,0,0,0.0,170.8,0.0,1650,170.2,180.6,1650,1280,2750,2.2,2.4,550,0.8500000000000001,2.45,29.47,105,0,241
0,0,0,0.0,0.0,0.0,1650,159.75,170.95,1650,1290,1100,2.6,2.8,3850,0.8500000000000001,2.75,28.74,106,5,118
200,1,17,28.86,159.0,-14.550000000000011,550,157.55,159.95,1650,1300,550,3.05,3.15,5500,0.8999999999999999,3.1,28.02,1740,-86,2603
0,0,0,0.0,0.0,0.0,550,142.15,154.05,1650,1310,550,3.5,3.7,2200,1.1,3.65,27.58,365,-25,115
0,0,0,0.0,0.0,0.0,550,133.65,145.15,1650,1320,550,4.05,4.25,550,1.3000000000000003,4.2,26.98,633,2,555
1,0,0,0.0,145.1,0.0,550,124.4,133.25,1650,1330,1650,4.75,4.85,550,1.4499999999999997,4.85,26.41,582,-43,242
1,0,0,0.0,131.95,0.0,550,114.85,126.45,1650,1340,550,5.6,5.85,550,1.6500000000000004,5.65,25.9,737,69,617
375,-1,71,23.57,111.0,-13.0,1100,111.35,113.1,550,1350,1100,6.6,6.9,550,1.9500000000000002,6.7,25.53,3563,185,3059
296,-1,1,43.75,125.0,0.0,550,98.2,104.7,550,1360,550,5.35,7.9,550,2.3500000000000005,7.95,25.2,1109,7,1370
47,0,0,0.0,108.7,0.0,2750,86.05,99.85,2200,1370,550,4.15,9.45,550,2.55,9.1,24.56,1070,53,496
249,2,5,22.56,85.05,-15.150000000000006,1100,83.05,86.0,1100,1380,550,10.55,11.05,14300,2.95,10.65,24.13,1875,196,3482
198,0,0,0.0,95.45,0.0,550,73.45,82.05,2200,1390,550,12.1,12.4,550,3.5999999999999996,12.45,23.72,913,-20,407
1538,-308,2212,23.58,71.1,-11.550000000000011,550,69.35,70.7,550,1400,550,14.3,14.85,2750,4.199999999999999,14.5,23.28,7634,106,8648
96,-24,92,22.0,62.0,-12.849999999999994,550,61.9,64.3,1100,1410,1100,15.65,17.0,550,5.15,17.05,23.0,1475,35,369
517,180,587,21.4,54.45,-12.149999999999991,550,54.35,55.95,550,1420,550,19.0,19.7,550,5.550000000000001,19.55,22.43,3011,424,1536
552,107,696,21.64,48.5,-10.850000000000001,550,48.45,48.95,550,1430,1100,21.75,23.2,550,6.600000000000001,23.25,22.45,2182,19,812
1616,256,2540,21.77,42.85,-9.449999999999996,550,42.7,42.85,550,1440,1100,26.9,27.0,1650,7.299999999999997,26.9,22.14,4664,94,1727
5414,687,8036,21.7,37.35,-8.649999999999999,550,37.2,37.4,550,1450,1100,31.25,31.6,550,8.150000000000002,31.1,21.91,8537,167,4926
4845,1019,9472,21.68,32.4,-7.950000000000003,550,32.4,32.45,550,1460,1100,35.9,37.0,550,8.7,36.0,21.84,6513,194,2511
3106,706,8647,21.72,28.0,-6.950000000000003,550,27.55,28.1,550,1470,1100,41.3,47.35,1650,9.049999999999997,41.05,21.58,5428,196,1061
5189,1478,13224,21.66,23.9,-6.25,550,23.85,23.9,9350,1480,1100,47.4,48.95,550,11.700000000000003,48.5,22.59,3883,189,2075
2147,586,6518,21.72,20.4,-5.600000000000001,550,20.45,20.85,550,1490,550,53.8,56.55,550,14.100000000000001,56.4,23.66,1362,13,2229
22978,1847,24785,21.91,17.5,-4.899999999999999,1650,17.5,17.7,2750,1500,550,61.1,61.9,550,13.25,61.95,22.9,3853,-52,8599
1467,289,2914,22.39,15.35,-4.000000000000002,1100,14.95,15.55,550,1510,1100,68.0,74.0,550,14.950000000000003,70.7,24.15,163,-23,421
4336,732,5096,22.42,12.9,-3.799999999999999,1100,12.9,13.3,550,1520,1100,75.5,78.4,1650,15.75,78.45,24.49,142,-1,908
1557,140,2549,22.64,11.0,-3.5999999999999996,550,11.45,11.6,1650,1530,2750,82.25,86.95,550,17.55000000000001,86.65,24.98,104,-6,351
2335,46,2531,23.58,10.15,-2.6500000000000004,550,10.05,10.15,550,1540,2200,92.1,96.2,550,17.60000000000001,95.9,26.19,72,-1,596
8285,254,7484,24.02,8.9,-2.3499999999999996,2200,8.85,9.0,1100,1550,550,101.2,106.05,2200,18.400000000000006,105.65,27.74,149,18,2060
2461,265,2682,24.49,7.85,-2.25,1100,7.85,8.05,550,1560,550,109.95,114.2,1100,15.200000000000003,111.0,25.06,45,-2,909
1475,185,1894,25.37,7.3,-1.7999999999999998,550,6.95,7.45,5500,1570,550,118.5,123.05,550,12.650000000000006,120.0,25.56,8,-1,422
3511,-1,2642,25.56,6.25,-1.9499999999999993,550,6.2,6.6,3300,1580,550,128.45,132.55,550,-4.099999999999994,110.0,0.0,3,0,1405
1203,11,1667,26.35,5.8,-1.7000000000000002,550,5.85,6.55,5500,1590,2200,137.1,145.1,1650,0.04999999999999716,125.95,0.0,49,3,444
22590,1154,17772,27.2,5.45,-1.5,1100,5.45,5.5,6050,1600,1650,146.9,150.15,1650,17.25,149.95,29.97,561,-3,4661
838,210,1950,27.33,4.65,-1.5499999999999998,1100,4.65,6.35,550,1610,2200,155.85,164.45,550,0.0,138.95,0.0,0,0,78
2046,-83,2355,27.93,4.25,-1.25,4400,4.15,4.4,2200,1620,550,165.75,174.5,550,6.0,158.05,0.0,3,1,385
764,111,1064,28.27,3.75,-1.2999999999999998,2200,3.8,4.0,1650,1630,550,174.4,183.4,550,0.0,161.0,0.0,0,0,64
912,252,1638,29.15,3.6,-0.9499999999999997,550,3.5,3.65,1100,1640,550,184.15,189.85,1650,0.0,178.3,0.0,0,0,224
