Open Interest,Change in Open Interest,Traded Volume,Implied Volatility,Last Traded Price,Net Change,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Strike Price,Bid Quantity,Bid Price,Ask Price,Ask Quantity,Net Change,Last Traded Price,Implied Volatility,Traded Volume,Change in Open Interest,Open Interest
14,-40,58,132.55,2260.0,-90.0,600,2047.45,2238.1,300,19500,0,0.0,0.05,352900,-0.2,0.05,60.17,122419,-7469,45621
6,0,0,0.0,2344.35,-0.0500000000001819,50,2164.5,2188.45,300,19550,0,0.0,0.05,18200,-0.25,0.05,58.83,23664,-3988,3364
8,-13,15,0.0,2110.0,-48.59999999999991,50,2114.5,2136.65,500,19600,0,0.0,0.05,700,-0.2,0.05,57.5,29164,-4915,16351
1,-1,1,140.19,2133.0,3.900000000000091,1750,1913.65,2088.4,300,19650,0,0.0,0.05,950,-0.2,0.05,56.17,9834,-1479,853
12,-8,18,139.66,2086.8,65.50000000000023,100,1910.4,2038.1,300,19700,0,0.0,0.05,600,-0.25,0.05,54.84,11657,-1594,3281
5,-1,1,133.01,2030.0,53.0,1750,1838.85,1988.4,300,19750,0,0.0,0.05,4550,-0.3,0.05,53.51,4561,-287,709
12,-18,29,0.0,1922.0,-157.19999999999982,500,1910.75,1933.9,250,19800,0,0.0,0.05,1550,-0.2,0.05,52.19,16847,-2713,3492
8,1,2,132.47,1938.75,-181.25,1750,1727.95,1888.4,300,19850,0,0.0,0.05,4950,-0.3,0.05,50.86,5477,-470,596
8,0,4,0.0,1820.0,-220.0,1750,1680.65,1838.1,300,19900,0,0.0,0.05,4800,-0.2,0.05,49.54,11350,-2120,2912
1,1,2,166.84,1931.95,75.54999999999995,1750,1635.15,1783.4,300,19950,0,0.0,0.05,1850,-0.2,0.05,48.21,4944,-453,598
428,-655,1089,0.0,1720.9,-267.04999999999995,250,1714.75,1721.9,1000,20000,0,0.0,0.05,6100,-0.2,0.05,46.89,110204,-25783,12799
3,2,10,84.51,1686.2,-189.20000000000005,1750,1554.9,1683.4,300,20050,0,0.0,0.05,3050,-0.3,0.05,45.57,7531,1762,2341
32,-106,145,98.84,1655.0,-224.1500000000001,1800,1612.15,1632.95,300,20100,0,0.0,0.05,1000,-0.25,0.05,44.25,8326,-853,1214
26,-63,95,113.88,1635.0,-189.0,500,1549.2,1575.85,500,20150,0,0.0,0.05,7300,-0.25,0.05,42.93,3724,-268,586
22,-26,45,0.0,1470.4,-302.5999999999999,1000,1401.15,1532.95,300,20200,0,0.0,0.05,5150,-0.3,0.05,41.62,15891,-2073,5413
8,-20,32,0.0,1460.0,-133.95000000000005,1750,1371.65,1483.4,300,20250,0,0.0,0.05,250,-0.25,0.05,40.3,7210,-1067,1354
9,-28,42,0.0,1406.8,-224.04999999999995,1800,1413.15,1432.95,300,20300,0,0.0,0.05,3000,-0.25,0.05,38.98,30669,-3805,7187
15,-1,11,0.0,1365.0,-100.65000000000009,1800,1364.25,1383.35,300,20350,0,0.0,0.05,12500,-0.3,0.05,37.67,15075,-1269,1223
46,-54,142,46.31,1324.3,-200.75,150,1314.45,1324.95,500,20400,0,0.0,0.05,16150,-0.3,0.05,36.35,50468,-986,7544
7,-4,4,89.79,1320.0,-230.0,150,1264.2,1272.3,500,20450,0,0.0,0.05,10300,-0.35000000000000003,0.05,35.03,23662,-1000,3452
231,-513,845,0.0,1214.8,-232.4000000000001,1800,1214.15,1232.95,300,20500,0,0.0,0.05,286000,-0.3,0.05,33.72,149455,-22022,30351
3,-2,6,50.13,1177.0,-9.0,1800,1164.35,1183.4,300,20550,0,0.0,0.05,16100,-0.3,0.05,32.4,31697,-1232,2034
29,-41,88,0.0,1118.0,-234.4000000000001,150,1115.7,1132.9,300,20600,0,0.0,0.05,67250,-0.35000000000000003,0.05,31.09,55967,-3866,8465
10,-69,95,0.0,1040.0,-1.0,1800,1065.15,1083.35,300,20650,0,0.0,0.05,500,-0.4,0.1,31.45,42085,-1629,2949
165,-141,348,0.0,1017.7,-237.0999999999999,1800,1015.15,1021.8,1800,20700,0,0.0,0.05,2700,-0.45,0.05,28.45,103791,-10849,16451
10,0,4,0.0,963.65,-241.35000000000002,500,965.3,971.8,1800,20750,0,0.0,0.05,50350,-0.4,0.05,27.13,60721,-1736,6847
112,-126,325,0.0,919.5,-244.04999999999995,1800,915.15,921.8,1800,20800,0,0.0,0.05,253950,-0.4,0.05,25.81,220696,11912,42284
13,8,34,0.0,872.35,-176.85000000000002,500,865.65,871.8,1800,20850,0,0.0,0.05,68400,-0.5499999999999999,0.05,24.49,104960,-6180,8987
76,-55,229,0.0,819.95,-222.25,100,814.2,821.7,100,20900,0,0.0,0.05,63300,-0.5,0.05,23.17,252112,-11617,25918
33,17,66,0.0,771.0,-254.54999999999995,750,765.95,770.9,600,20950,0,0.0,0.05,89150,-0.5499999999999999,0.05,21.85,204470,-3650,9966
1705,-3155,6993,0.0,719.25,-230.35000000000002,100,716.95,719.0,50,21000,0,0.0,0.05,537050,-0.6499999999999999,0.05,20.52,981552,-33599,82254
56,14,380,0.0,670.15,-229.85000000000002,1000,666.5,670.15,250,21050,0,0.0,0.05,58300,-0.7,0.05,19.19,251669,-2857,9051
993,-715,1717,0.0,616.95,-231.75,50,616.8,620.35,50,21100,0,0.0,0.05,135050,-0.75,0.05,17.85,853044,-361,40570
108,-25,639,0.0,569.15,-231.10000000000002,50,567.35,570.0,50,21150,0,0.0,0.05,157100,-0.85,0.05,16.52,638302,-2197,14364
