Time,Value,Call Sum (in K),Put Sum (in K),Difference (in K),Call Boundary (in K),Put Boundary (in K),Call ITM,Put ITM
15:30:00,21853.8,-78.9,42.8,-121.7,-31.9,1.1,4.7,-0.1
15:30:00,21853.8,8.9,81.9,-73.0,-5.8,40.3,0.2,-1.1
15:30:00,21853.8,-44.8,62.8,-107.6,-35.5,51.4,-0.9,-0.1
15:30:00,21853.8,8.9,81.9,-73.0,-5.8,40.3,0.2,-1.1
15:30:00,21853.8,-78.9,42.8,-121.7,-31.9,1.1,4.7,-0.1
12:21:36,21929.85,56.2,123.3,-67.1,49.1,36.9,0.4,0.0
12:21:36,21929.85,114.1,94.9,19.2,39.4,62.9,0.1,0.0
12:22:35,21929.85,56.2,123.3,-67.1,49.1,36.9,0.4,0.0
12:22:35,21929.85,114.1,94.9,19.2,39.4,62.9,0.1,0.0
12:23:35,21932.5,112.4,97.6,14.8,38.2,63.4,0.1,0.0
12:23:35,21932.5,55.2,124.7,-69.5,48.0,37.4,0.4,0.0
12:24:36,21930.25,112.4,97.6,14.8,38.2,63.4,0.1,0.0
12:25:35,21923.7,55.2,124.7,-69.5,48.0,37.4,0.4,0.0
12:25:35,21923.7,112.4,97.6,14.8,38.2,63.4,0.1,0.0
12:26:36,21923.7,55.2,124.7,-69.5,48.0,37.4,0.4,0.0
12:26:36,21930.25,112.4,97.6,14.8,38.2,63.4,0.1,0.0
12:27:36,21912.2,53.9,127.5,-73.6,46.9,37.4,0.4,0.0
12:27:36,21912.2,110.8,100.5,10.3,37.9,64.7,0.1,0.0
12:28:36,21912.2,53.9,127.5,-73.6,46.9,37.4,0.4,0.0
12:28:36,21912.2,110.8,100.5,10.3,37.9,64.7,0.1,0.0
12:29:36,21912.1,53.5,125.2,-71.7,47.0,37.6,0.4,0.0
12:29:36,21912.1,110.9,97.4,13.5,37.5,62.6,0.1,-0.1
12:30:35,21912.1,53.5,125.2,-71.7,47.0,37.6,0.4,0.0
12:31:35,21908.35,53.5,125.2,-71.7,47.0,37.6,0.4,0.0
12:31:35,21908.35,110.9,97.4,13.5,37.5,62.6,0.1,-0.1
12:32:35,21908.35,53.5,125.2,-71.7,47.0,37.6,0.4,0.0
12:32:35,21908.35,110.9,97.4,13.5,37.5,62.6,0.1,-0.1
12:34:36,21902.2,55.0,121.6,-66.6,48.5,37.2,0.4,0.0
12:34:36,21902.2,116.3,93.6,22.7,39.9,60.5,0.1,-0.1
12:35:35,21905.7,59.1,125.1,-66.0,52.2,37.5,0.4,0.0
12:36:35,21905.7,59.1,125.1,-66.0,52.2,37.5,0.4,0.0
12:36:35,21905.7,122.5,95.5,27.0,41.5,63.0,0.1,-0.1
12:37:36,21912.2,59.1,125.1,-66.0,52.2,37.5,0.4,0.0
12:37:36,21912.2,122.5,95.5,27.0,41.5,63.0,0.1,-0.1
12:38:36,21912.2,122.5,95.5,27.0,41.5,63.0,0.1,-0.1
12:38:36,21912.2,59.1,124.8,-65.7,52.2,37.2,0.4,0.0
12:39:35,21909.4,126.7,95.7,31.0,42.7,62.8,0.1,-0.1
12:39:35,21909.4,60.9,124.5,-63.6,53.9,37.2,0.4,0.0
